Learning Rate, Activation Function, Weight Decay, Hidden Layers, Dropout Rate, Validation Error
0.0121081226986, leaky_relu, 0.0177352244141, 96 32, 0.521191136066, 0.687375843525
0.0215411647516, tanh, 0.0132221079414, 128 64 32, 0.748942930663, 1.17245411873
0.140873680136, leaky_relu, 0.000497836511196, 96 32, 0.893596346663, 286.857971191
0.00570661564691, tanh, 3.51481226647e-05, 64 96 32, 0.988725472962, 0.975391507149
0.028228289876, tanh, 0.00964726829584, 96 32 64, 0.154530545287, 0.616631805897
0.957490294052, relu, 0.0822824603238, 96 128, 0.87469304159, 8.09861564636
0.0066752894447, leaky_relu, 4.90487833773e-05, 128 96 64 32, 0.846079378603, 0.964239358902
0.000111879895992, tanh, 0.0328886292017, 64, 0.0494729880981, 0.565413415432
0.0149984454407, tanh, 0.000722483952918, 32 128 64 96, 0.755169842514, 3.82379508018
0.323643301021, leaky_relu, 0.0014727294597, 64 128 32 96, 0.104963640691, 578752960.0
0.229124681404, relu, 0.0048229010664, 128 64 32, 0.156987229438, 0.911883831024
0.00144272020202, relu, 0.00267134191285, 32 64 96, 0.0378219557044, 0.668681442738
0.0788807101644, sigmoid, 0.000253714163858, 64 128 96, 0.907947174049, 0.994512796402
0.000116479102272, leaky_relu, 5.7904734083e-05, 96 32 128 64, 0.847262339732, 0.976176440716
0.00942201007735, tanh, 0.0103500088564, 128 64 32 96, 0.785130511759, 2.3318104744
0.00571590949502, sigmoid, 6.85687724274e-05, 96 32 128, 0.25121665219, 0.770637631416
0.723750321862, relu, 0.0137492346629, 96 128, 0.472433963363, 0.978057086468
0.384865193968, tanh, 0.0403895814981, 96 32, 0.856780908882, 0.946520268917
0.0460027155508, sigmoid, 9.96148071039e-05, 96 128 32, 0.0263927869218, 0.645505070686
0.183470076073, leaky_relu, 0.000101563420804, 32 128 64, 0.102786432427, 3117.64208984
0.000164499888578, sigmoid, 3.69248358063e-05, 64 128 96 32, 0.981481411668, 0.979460000992
0.000195886530044, tanh, 0.000111714062638, 64 96 128, 0.164575033699, 0.669281959534
0.00033240427315, sigmoid, 0.00207719887355, 64 128, 0.82814493091, 0.821078300476
0.074929480351, sigmoid, 3.84296266068e-05, 32 128, 0.53003068982, 0.852602422237
0.614113614796, sigmoid, 0.0106635632977, 32 96 64 128, 0.337831969406, 0.979017317295
0.0438523461731, sigmoid, 0.00126044023375, 96 128 64 32, 0.521749157069, 0.978790581226
0.521627087779, leaky_relu, 0.000844383441002, 96 128, 0.456237637133, 1112992.875
0.184436448562, sigmoid, 0.0731593207073, 32 128 96 64, 0.85548976009, 0.979083061218
0.0298502168707, sigmoid, 0.000305021018465, 64 32 128, 0.296363812957, 0.887302398682
0.139699634647, sigmoid, 0.000107743790479, 128 96 32 64, 0.139539389205, 0.980722010136
0.000333548962802, leaky_relu, 0.00187068071347, 128 32, 0.0813971131681, 0.60693114996
0.145392632831, sigmoid, 3.2645851716e-05, 32, 0.865578210187, 3.3499994278
