Learning Rate, Activation Function, Weight Decay, Hidden Layers, Dropout Rate, Validation Error
0.0084687659182, leaky_relu, 0.000158204938768, 128 64 32, 0.824477323573, 0.96042406559
0.000340505473794, leaky_relu, 0.000124609069999, 128 96 32, 0.35646407319, 0.634875297546
0.149241920477, leaky_relu, 1.88495326406e-05, 64 96 32 128, 0.72794273454, 4246867.5
0.453125745136, tanh, 0.000166218734934, 64 96 32, 0.819414498166, 2.02045798302
0.00889608471804, relu, 1.57087205847e-05, 128 96 64, 0.754148488763, 0.897686004639
0.00791436628539, tanh, 0.0107191177325, 128 64 96, 0.223754423862, 0.610963642597
0.000158247721783, relu, 0.00683326352772, 96 32, 0.493474960538, 0.644845306873
0.0045508245418, tanh, 0.000211510589239, 96 32 128 64, 0.612847991693, 1.69161093235
0.000225708338877, relu, 0.0010704016206, 32 96 128, 0.624014392074, 0.716395318508
0.00244510358194, leaky_relu, 6.47984035956e-05, 128 32 64, 0.191068223368, 0.607538104057
0.00184314672359, relu, 1.78136746874e-05, 128 96 64, 0.312548516563, 0.60079818964
0.000126298224845, relu, 6.16350375822e-05, 32 96, 0.173037628238, 0.647690474987
0.00361981913658, relu, 1.08900364737e-05, 32 96 64, 0.781079243931, 0.919579446316
0.596989801262, relu, 0.00112209090805, 96 128 32, 0.22566689129, 0.987694740295
0.00344856413005, tanh, 0.000373680050228, 128 64 96, 0.0346140446462, 0.681384921074
0.000931694023175, leaky_relu, 0.0627962186895, 96 128 64 32, 0.512243703045, 0.975493729115
0.225710376171, tanh, 0.00165021087959, 96 128 64 32, 0.504504282228, 1.05249488354
0.161156553377, leaky_relu, 0.0636415818457, 32 96 128 64, 0.977861120283, 17250680832.0
0.000621710637957, relu, 0.000132585599177, 64 96 128 32, 0.19081744514, 0.677723824978
0.000408536282406, leaky_relu, 0.000709416951915, 64 96 32 128, 0.22968250189, 0.614405632019
0.00416312608373, tanh, 4.55505530923e-05, 96 64 32, 0.995304229688, 0.978933572769
0.0273305628988, tanh, 8.01890185626e-05, 96 32, 0.233141556722, 0.751838326454
0.0244265306163, tanh, 8.60647151583e-05, 128, 0.522767657968, 1.24876987934
0.0186575082132, tanh, 0.034900097393, 32 64 96, 0.352399647443, 0.737226724625
0.0094108328275, tanh, 0.0525707337107, 128, 0.546753279025, 0.604862511158
0.000297951882267, relu, 0.000125163393899, 32 96 128, 0.351689149117, 0.670173764229
0.000164242021146, relu, 0.0028176599011, 64 128, 0.31374284845, 0.578572273254
0.000129784305012, relu, 5.65314060573e-05, 96 128, 0.556345768846, 0.618399322033
0.00751681386656, tanh, 0.00955279522432, 64 128 96, 0.0768516036588, 0.625061273575
0.0027764801497, relu, 0.000346072738327, 32 128 64 96, 0.769889216018, 0.894456207752
0.000357069446505, leaky_relu, 0.0602880812776, 32 64 128 96, 0.260995285987, 0.974631607533
0.0165341858171, relu, 0.000133682286949, 128 96, 0.574724815017, 0.799815833569
0.00141708245297, tanh, 2.20943582231e-05, 128 64 32, 0.557303731059, 0.996341228485
0.193171695094, leaky_relu, 1.0067271954e-05, 64 32 96 128, 0.21807223235, 5.14662456512
0.000229691350648, relu, 0.00545002032561, 128 32, 0.0765078199812, 0.570937216282
0.653464883497, relu, 4.36418834392e-05, 96 128 64 32, 0.482095133873, 16.0920791626
0.176872198559, relu, 0.00539403582544, 128 32 96, 0.346956287905, 0.873047173023
0.000133134610394, relu, 0.0022337597915, 32 96, 0.0597494750452, 0.622017562389
0.795065334926, tanh, 0.00129078837002, 128, 0.353835611238, 1.00095319748
0.0171615101305, relu, 2.86011867196e-05, 96 128 64 32, 0.928296883451, 0.980086803436
0.225881832383, leaky_relu, 0.0622113889374, 96 64 32 128, 0.732980514886, 68303672.0
0.000224550617652, leaky_relu, 0.000303455366905, 64 32 96, 0.471763080407, 0.664267599583
0.026394402915, leaky_relu, 0.000397131950068, 64 32 96, 0.624433884597, 0.824638664722
0.114959293251, relu, 3.55453336549e-05, 128 64 96 32, 0.967269111065, 0.981245577335
0.000289310701478, relu, 0.00815630419277, 128 32 96, 0.359347040819, 0.629241347313
0.650752688322, tanh, 0.0254890281602, 64 96 128 32, 0.109582347355, 2.4640455246
0.000205539896921, tanh, 0.000835717336789, 32 128, 0.639597550104, 0.777467310429
0.00164423161193, leaky_relu, 0.0378520908384, 64 32, 0.306216479175, 0.730626404285
0.0023821248451, leaky_relu, 0.0277611541621, 32 96 64 128, 0.227377669705, 0.978429079056
0.000118696933336, relu, 0.0108043595093, 64, 0.249755795091, 0.57449221611
0.15359879571, relu, 0.00652364929762, 96 32 64, 0.0150288315287, 0.728134036064
0.266649158126, tanh, 0.00379712967394, 96 32, 0.147879774852, 0.659670472145
0.00041119744163, leaky_relu, 0.0109169570276, 128 64, 0.476217511136, 0.60752594471
0.228455778435, leaky_relu, 0.000379628549683, 96 64 32, 0.254996557112, 2114.16650391
0.002950683871, leaky_relu, 1.7665864842e-05, 128, 0.967853046234, 0.823371589184
0.341116011988, tanh, 0.00208950228193, 32 128, 0.756053888161, 3.84016299248
0.128911489457, relu, 3.80898578247e-05, 32 128 96, 0.736716638787, 1.00725114346
0.000367479429668, leaky_relu, 8.6247295749e-05, 64 128 96 32, 0.115339919876, 0.615193367004
0.0606109742069, tanh, 0.00963629616616, 32 96 64, 0.338398937162, 0.658500015736
0.0151216359803, tanh, 0.000351124296451, 64 32 96 128, 0.309826387677, 0.861446678638
0.0729311609073, leaky_relu, 0.000341568404265, 96 32 128 64, 0.242840195037, 869.945495605
0.0585338270881, leaky_relu, 0.00198767558585, 32 96 64, 0.425346241278, 0.75535517931
0.0010596533223, leaky_relu, 0.00270464816924, 64 128 32, 0.0430188191718, 0.616624116898
0.0165362980433, relu, 0.00650025206673, 128 64, 0.621986947017, 0.672532439232
0.0108885236348, leaky_relu, 0.0020429917968, 32 128 64 96, 0.191965987104, 0.663668692112
0.764092354115, tanh, 0.000242834458993, 64 128 96 32, 0.205320842393, 1.25796926022
0.0239429785181, tanh, 0.00186737236844, 64 32 96, 0.781065639934, 4.47672939301
0.00188274349252, leaky_relu, 0.00223452020946, 96 128 64, 0.301011033026, 0.572365045547
