Learning Rate, Activation Function, Weight Decay, Hidden Layers, Validation Error
0.128011371091, leaky_relu, 1.18734967577e-05, 96 32, 0.854924917221
0.000415195923683, leaky_relu, 2.77555506645e-05, 64 128 32 96, 0.655429899693
0.032356500811, leaky_relu, 0.0515330449367, 128 64, 0.726385056973
0.397038035794, leaky_relu, 0.00431759417687, 32 64 96 128, 69911192.0
0.187378586541, relu, 0.00100875724404, 32 96 64, 0.984599947929
0.160976477587, relu, 0.00110984811203, 128 96 32, 0.981089770794
0.000501649931724, relu, 0.0188748574097, 96 128 32, 0.647451639175
0.00120163455471, leaky_relu, 0.0439115009696, 96 128 64 32, 0.97734862566
0.225452437369, relu, 0.000235072977817, 32 96 128 64, 0.96694624424
0.000869884977877, leaky_relu, 0.00100963838036, 96 128 32, 0.665085673332
0.000214652730011, leaky_relu, 0.019610966912, 64 96 32, 0.644056916237
0.00134040799494, leaky_relu, 0.0167826510513, 64 32 96 128, 0.979342639446
0.011683110009, leaky_relu, 0.00207942549242, 96 128 64 32, 0.6361784935
0.0045023248077, relu, 0.00612312537664, 96 64, 0.625256836414
0.000941361412683, leaky_relu, 0.0801346918144, 96 32 128, 0.975753009319
0.0109654471354, relu, 0.000187516905966, 32 96 128 64, 0.693824112415
0.536329588348, relu, 0.00051442243292, 128 96 32, 0.980142354965
0.0432082421602, leaky_relu, 0.0127130079698, 96 64 32, 0.621831953526
0.67351098031, leaky_relu, 0.00459810602066, 64 128, 7286.05712891
0.00136755237632, relu, 9.94254045666e-05, 64 32 128, 0.763712882996
0.000263403639811, relu, 0.00275932868756, 64 128, 0.619450926781
0.00322020784214, leaky_relu, 0.000466770487617, 96 64 32, 0.658996939659
0.00100393977938, leaky_relu, 0.00567405690008, 64 96 128, 0.58286511898
0.360538594336, leaky_relu, 0.000176267111918, 64 128 32, 1982.66271973
0.00968561952804, leaky_relu, 0.0109776933359, 96 32 128, 0.575678408146
0.0015631946526, leaky_relu, 1.71852936301e-05, 96 32 128 64, 0.753193676472
0.0169568961848, relu, 2.63377039359e-05, 128 96 32, 0.717675149441
0.00664430630515, leaky_relu, 0.0206997042089, 64 32 96 128, 0.97898131609
0.000637741823023, relu, 0.000902054786192, 32 96 128, 0.716033399105
0.000782672515085, relu, 0.0276283331553, 32 96 128, 0.714418828487
0.0193150321805, relu, 0.0460997809869, 32 96 64 128, 0.977211952209
0.00127377476108, leaky_relu, 0.00328299861136, 32 128 96, 0.637312591076
0.00241794982233, relu, 0.000499822934422, 128 64 32 96, 0.628614902496
0.236172231868, leaky_relu, 0.000780504937957, 128 64 32, 1.32532203197
0.739592087291, leaky_relu, 0.00550401266279, 128 96, 486.932556152
0.000362997886544, relu, 0.000114408489398, 96, 0.629737734795
0.0162746612445, leaky_relu, 0.0111124312064, 96, 0.574107050896
0.923630869568, relu, 0.00439730573024, 96 128, 0.9769089818
0.00016662986086, relu, 5.22953177122e-05, 32 128 64, 0.714935839176
0.0027427347006, leaky_relu, 1.91676467392e-05, 128 96 64, 0.754096448421
0.023390105976, leaky_relu, 0.00076211587073, 32 96 128, 0.653275430202
0.508487625414, relu, 0.0183423941679, 64 128 96, 0.981604337692
0.513784366544, relu, 0.00286087556901, 96, 0.6800121665
0.0200541092641, leaky_relu, 9.87077643987e-05, 96 128 64, 0.630823791027
0.0711788939344, leaky_relu, 0.00996978831328, 64 32 128, 0.666344702244
