Learning Rate, Activation Function, Weight Decay, Hidden Layers, Validation Error
0.000356178927764, relu, 5.65628913068e-05, 32 96 128 64, 0.716152846813
0.200923075481, leaky_relu, 0.000845597346487, 64 128 96, 1.91401124001
0.00450517320114, leaky_relu, 0.00138245634915, 96 128 64, 0.70736604929
0.237522301708, relu, 0.000244407503088, 64 96 128 32, 1.00552451611
0.0478550732674, leaky_relu, 7.86266466813e-05, 96 32 64, 0.83168900013
0.0148404618767, leaky_relu, 0.00789445722049, 64 96 32, 0.660241007805
0.129296982935, leaky_relu, 0.000102004027626, 64 96 128 32, 1.49046885967
0.0752352998065, relu, 0.00183088342011, 64 32 128, 0.679849922657
0.00209226824478, leaky_relu, 1.26696114419e-05, 128 64 32, 0.659394800663
0.0481058437889, leaky_relu, 0.000215354658774, 96 128 64 32, 0.872390091419
0.000249441245597, leaky_relu, 1.44300053391e-05, 96 128 64 32, 0.737116634846
0.00730057384568, relu, 0.00274728390984, 64, 0.726821005344
0.929583922098, leaky_relu, 0.000825536594882, 32 64 96 128, 19800190976.0
0.761215920787, leaky_relu, 0.00188270326438, 32 128 96 64, 40562.4882812
0.0407065506874, relu, 0.0153342483443, 64 96 32 128, 1.00301098824
0.000279585946712, relu, 0.0148673414347, 96, 0.618878960609
0.115164584741, relu, 0.05173543955, 32, 0.692041099072
0.000567174302775, relu, 0.00446235341382, 64 128 96 32, 0.696821689606
0.00318438051131, leaky_relu, 0.0045364467069, 128 32 64 96, 0.682558357716
0.0356276675309, leaky_relu, 1.58805565051e-05, 32 128 96 64, 0.759482085705
0.0336723718406, leaky_relu, 0.000348269273439, 64 96 128 32, 0.772816777229
0.23793200902, leaky_relu, 0.000656646978879, 96 64 32 128, 28.7323932648
0.00014792353924, leaky_relu, 0.00355085109424, 32, 0.694639980793
0.185015781864, leaky_relu, 0.0110080971215, 64 32 128 96, 57620616.0
0.321650314171, relu, 0.0329224873032, 96 64, 0.861590266228
0.00478771711524, relu, 0.0301318735319, 128 64 32, 1.00172913074
0.00063542069463, relu, 0.000722188989126, 64 32 96 128, 0.764761090279
0.53976615511, relu, 0.000281917881486, 96 128 64, 0.988714277744
0.00916048310401, leaky_relu, 5.14972722848e-05, 32 128 96 64, 0.845109581947
0.574187546797, leaky_relu, 0.0233949050026, 32, 0.65413749218
0.807101613527, relu, 2.99357595137e-05, 64 128 32 96, 93948.890625
0.0124485519655, leaky_relu, 4.07122311016e-05, 128 32 96 64, 0.723331868649
0.00047628807644, leaky_relu, 0.000333183169867, 32 64 128, 0.772244751453
0.850744197979, leaky_relu, 0.0333554881019, 64 128 96, 7508997.5
0.000209202513281, leaky_relu, 0.000294114796205, 128 64, 0.692317545414
0.000213435743384, leaky_relu, 0.000174951160016, 64 96 32 128, 0.763835370541
0.0660023476787, relu, 9.5576711187e-05, 64 96, 0.877135753632
0.000131019346137, leaky_relu, 1.75566868786e-05, 64 96 32, 0.760242283344
0.0325360721068, relu, 0.00023394479798, 128 32, 0.711322486401
0.0188540838717, relu, 0.00035171121163, 96 32 128, 0.70827549696
0.000379978398418, relu, 0.00642418312285, 32 96, 0.699805378914
0.255562941615, relu, 0.015510803798, 96 64, 0.694262087345
0.618013558188, relu, 0.000577292355877, 128 64 32, 1.00528478622
0.000520007434505, leaky_relu, 0.00243492522108, 64 96 128, 0.671250402927
0.234793398024, relu, 0.00079724754788, 128 32, 1.00579249859
0.0603411314867, leaky_relu, 8.91327091887e-05, 128 32 64, 0.873770177364
0.000106131955021, leaky_relu, 2.84020889067e-05, 128 32 96, 0.667382121086
0.000517433418927, relu, 0.0187927565277, 128, 0.630602121353
0.00315549552194, leaky_relu, 0.00895722582554, 128 64 96, 0.631068706512
0.000314262384826, leaky_relu, 0.00167844390376, 128 32 96 64, 0.715121269226
0.000324796389649, leaky_relu, 0.00599090458933, 128, 0.657245516777
0.000192773041301, leaky_relu, 2.10054132712e-05, 32 96, 0.74493265152
0.00426965061134, leaky_relu, 0.00744177395479, 128, 0.638257324696
0.0014797840698, relu, 0.0053004732006, 32, 0.731868267059
0.0017792879708, leaky_relu, 0.00225175171946, 128 32 64, 0.680776119232
0.213928856956, relu, 0.0359012725677, 64 96 32, 0.950759768486
0.00293438658066, relu, 0.00187782420029, 64 96 32, 0.770526051521
0.30487839261, relu, 0.00243115518842, 128 32 96 64, 1.00447177887
0.0859623776497, relu, 0.0748196802128, 96 64, 0.845947921276
0.000600199281519, relu, 0.000554786788656, 128 32, 0.659398436546
0.0264932712671, leaky_relu, 0.0165359178659, 32 128 96 64, 1.00335395336
0.421056147247, leaky_relu, 0.0763564756609, 32 128 96, 10.8884706497
0.285243916139, leaky_relu, 6.27721392329e-05, 128 96, 18.3747081757
0.00034631817294, leaky_relu, 0.000298646598627, 64 96 32 128, 0.741516709328
0.00617052497625, relu, 1.21210106832e-05, 96 32 64 128, 0.761401474476
0.00101641038054, relu, 0.0118420970148, 128, 0.611410975456
0.273771086905, relu, 0.000413469813392, 128 32 64, 1.00273823738
0.0430234359747, leaky_relu, 0.00406226868331, 32 64 96, 0.656743347645
0.0891463332769, relu, 0.00788181039556, 32 128 96 64, 0.770081222057
0.000262895146605, leaky_relu, 0.00273380765532, 64 128 96, 0.702165961266
0.000255330833283, relu, 0.0217328694375, 32, 0.66427898407
0.000726523794603, relu, 3.42785138985e-05, 128 32 96 64, 0.746167957783
